2         0             6651             0.6651             -1             0.693147             0.686105
2.02         0             6692             0.6692             -1             0.703098             0.704569
2.04         0             6686             0.6686             -1             0.71295             0.70186
2.06         0             6721             0.6721             -1             0.722706             0.717698
2.08         0             6777             0.6777             -1             0.732368             0.743222
2.1         0             6739             0.6739             -1             0.741937             0.725878
2.12         0             6850             0.685             -1             0.751416             0.776846
2.14         0             6753             0.6753             -1             0.760806             0.732255
2.16         0             6820             0.682             -1             0.770108             0.762978
2.18         0             6822             0.6822             -1             0.779325             0.763901
2.2         0             6919             0.6919             -1             0.788457             0.809017
2.22         0             6862             0.6862             -1             0.797507             0.782413
2.24         0             6903             0.6903             -1             0.806476             0.801522
2.26         0             6958             0.6958             -1             0.815365             0.827377
2.28         0             6823             0.6823             -1             0.824175             0.764362
2.3         0             7002             0.7002             -1             0.832909             0.84825
2.32         0             7014             0.7014             -1             0.841567             0.853973
2.34         0             7058             0.7058             -1             0.850151             0.875072
2.36         0             6998             0.6998             -1             0.858662             0.846346
2.38         0             7049             0.7049             -1             0.8671             0.870742
2.4         0             7044             0.7044             -1             0.875469             0.868339
2.42         0             7066             0.7066             -1             0.883768             0.878928
2.44         0             7015             0.7015             -1             0.891998             0.854451
2.46         0             7085             0.7085             -1             0.900161             0.88811
2.48         0             7275             0.7275             -1             0.908259             0.981975
2.5         0             7159             0.7159             -1             0.916291             0.924214
2.52         0             7241             0.7241             -1             0.924259             0.964891
2.54         0             7197             0.7197             -1             0.932164             0.942974
2.56         0             7192             0.7192             -1             0.940007             0.940497
2.58         0             7164             0.7164             -1             0.947789             0.926674
2.6         0             7179             0.7179             -1             0.955511             0.934069
2.62         0             7250             0.725             -1             0.963174             0.969401
2.64         0             7271             0.7271             -1             0.970779             0.979959
2.66         0             7322             0.7322             -1             0.978326             1.00581
2.68         0             7273             0.7273             -1             0.985817             0.980967
2.7         0             7296             0.7296             -1             0.993252             0.992594
2.72         0             7351             0.7351             -1             1.00063             1.02065
2.74         0             7283             0.7283             -1             1.00796             0.986015
2.76         0             7356             0.7356             -1             1.01523             1.02322
